Station,Date,Time,Latitude_DD,Longitude_DD,File.Name,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,24.23,4.3158,31.7335,25.1578,309.978,96.813,16.44047,7.6713,0.2693,0.3712,0.3712,91.1375
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,25.228,4.3155,31.7339,25.1581,310.261,96.901,16.44052,6.7828,0.2705,0.3728,0.3728,91.101
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,26.25,4.3147,31.7357,25.1596,310.406,96.946,16.4406,6.0789,0.3033,0.3703,0.3703,91.1588
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,27.258,4.313,31.7401,25.1633,310.304,96.913,16.44071,5.3473,0.2754,0.3772,0.3772,91.0013
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,28.273,4.3098,31.7449,25.1674,310.501,96.97,16.44135,4.7496,0.2758,0.379,0.379,90.9609
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,29.264,4.3093,31.7447,25.1674,310.152,96.86,16.44154,4.2055,0.2724,0.3855,0.3855,90.811
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,30.305,4.3114,31.7429,25.1656,310.281,96.904,16.441,3.7454,0.2624,0.3823,0.3823,90.8853
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,31.294,4.3083,31.7471,25.1694,310.23,96.884,16.4416,3.3398,0.2684,0.3873,0.3873,90.7699
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,32.307,4.3046,31.7519,25.1736,310.134,96.849,16.4424,2.922,0.2658,0.3985,0.3985,90.5171
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,33.312,4.3027,31.754,25.1754,310.122,96.842,16.44285,2.6166,0.2708,0.4041,0.4041,90.3914
