KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10/28/22,20:45:25,0,Homer Deep,8.381,91.9,9.38,28.86,45.27,4.67,1.191,7.88,-72.6,6.304,5.79
10/31/22,9:45:24,0,Homer Deep,11.516,91.2,9.06,29.86,46.582,3.79,1.191,7.88,-72.3,7.173,5.8
11/5/22,20:45:00,0,Homer Deep,9.614,95.3,10.71,29.82,47.454,12.96,NaN,7.82,-68.6,2.096,4.45
,,,,,,,,,,,,,,
,,,MEAN VALUE:,9.711,93,9.08,25.35,39.541,2.84,NaN,NA,-71.1,9.345,5.62
,,,STANDARD DEVIATION:,4.178,3.3,0.38,10.32,16.077,1.34,NaN,0.09,4.3,4.092,0.35
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,20:45:00,0,Homer Deep,0.047,98.7,9.07,0.1,0.21,1.5,NaN,7.61,-59.3,19.467,5.82
10/11/22,11:30:00,0,Homer Deep,0.146,100.1,9.39,0.1,0.215,1.27,NaN,7.68,-62.9,18.383,5.5
10/17/22,5:30:00,0,Homer Deep,11.306,87.2,8.23,29.78,46.212,1.06,1.187,7.86,-71.8,9.47,5.74
10/21/22,9:00:00,0,Homer Deep,11.107,91,8.63,29.74,46.174,1.05,1.184,7.9,-74.1,9.274,5.77
10/21/22,16:15:00,0,Homer Deep,10.279,93.2,8.89,29.69,46.131,2.53,1.185,7.89,-73.5,9.04,5.77
10/22/22,22:00:27,0,Homer Deep,11.4,94.7,9.31,28.45,44.471,5.79,1.192,7.87,-72.2,8.072,5.78
10/23/22,1:45:30,0,Homer Deep,13.289,94,9.19,28.64,44.728,4.47,1.189,7.88,-72.6,8.231,5.77
10/27/22,7:30:25,0,Homer Deep,9.583,94.1,9.27,28.93,45.177,2.66,1.194,7.92,-74.7,7.826,5.79
10/28/22,13:45:27,0,Homer Deep,13.202,93,9.19,29.16,45.529,2.14,1.187,7.92,-74.5,7.613,5.79
10/30/22,15:15:26,0,Homer Deep,12.437,89.6,8.75,30.05,46.752,3.52,1.19,7.88,-72.7,7.911,5.79
