"TOA5","AP_Met","CR1000X","13917","CR1000X.Std.03.02","CPU:KACAPMET_CR1000x_6.0.1_052720.CR1X","19705","SWMP"
"TIMESTAMP","RECORD","ATemp","MaxTemp","MaxTempT","MinTemp","MinTempT","RH","BP","WSpd","Wdir","SDWDir","MaxWSpd","MaxWSpdT","TotPrcp","TotPAR","AvgVolt","CumPrcp"
"TS","RN","C","C","hhmm","C","hhmm","%","Millibars","m/s","Deg","Deg","","hhmm","mm","mmoles/m^2","Volts","mm"
"","","Avg","Smp","Smp","Smp","Smp","Avg","Avg","WVc","WVc","WVc","Smp","Smp","Tot","Tot","Avg","Smp"
"2021-08-23 11:15:00",21109,11.94517,12.10962,"11:2",11.82944,"11:14",95.33581,1006.535,2.879131,9.645087,22.40019,4.7432,"11:4",0,366.3273,13.06018,0
"2021-08-23 11:30:00",21110,11.79165,11.95515,"11:17",11.69806,"11:28",94.77951,1006.603,3.28387,10.33732,18.23531,5.5664,"11:19",0,314.7116,13.09156,0
"2021-08-23 11:45:00",21111,11.75573,11.92831,"11:44",11.69814,"11:38",94.39035,1006.594,3.098978,11.00741,18.03503,4.9588,"11:37",0,314.78,13.09997,0
"2021-08-23 12:00:00",21112,11.91149,12.0537,"11:59",11.82911,"11:46",94.17207,1006.546,2.929438,8.845724,26.79536,5.7036,"11:46",0,338.2078,13.12561,0
"2021-08-23 12:15:00",21113,12.09072,12.22639,"12:8",12.02589,"12:13",94.41602,1006.551,3.068085,4.261146,23.64219,5.1548,"12:8",0,412.3084,13.14712,0
"2021-08-23 12:30:00",21114,12.02452,12.15046,"12:26",11.9604,"12:24",94.78082,1006.651,3.124893,0.7481819,27.54102,4.998,"12:17",0,401.09,13.19241,0
"2021-08-23 12:45:00",21115,11.96311,12.15339,"12:36",11.83075,"12:41",95.16309,1006.643,2.858333,8.02687,22.58294,5.3116,"12:43",0,390.3663,13.21666,0
"2021-08-23 13:00:00",21116,11.90661,12.012,"12:46",11.83047,"12:55",95.55888,1006.56,3.029397,13.91639,20.2866,5.5076,"12:58",0,427.6076,13.24946,0
"2021-08-23 13:15:00",21117,11.9151,12.03925,"13:1",11.83018,"13:6",95.86777,1006.46,2.961341,15.18367,18.61936,5.0764,"13:14",0,456.7165,13.24969,0
