"TOA5","AP_Met","CR1000X","13917","CR1000X.Std.03.02","CPU:KACAPMET_CR1000x_6.0.1_052720.CR1X","19705","SWMP"
"TIMESTAMP","RECORD","ATemp","MaxTemp","MaxTempT","MinTemp","MinTempT","RH","BP","WSpd","Wdir","SDWDir","MaxWSpd","MaxWSpdT","TotPrcp","TotPAR","AvgVolt","CumPrcp"
"TS","RN","C","C","hhmm","C","hhmm","%","Millibars","m/s","Deg","Deg","","hhmm","mm","mmoles/m^2","Volts","mm"
"","","Avg","Smp","Smp","Smp","Smp","Avg","Avg","WVc","WVc","WVc","Smp","Smp","Tot","Tot","Avg","Smp"
"2021-03-22 11:00:00",6324,-3.555217,-3.401371,"10:47",-3.600418,"10:58",50.72354,1012.346,3.256214,12.54195,27.9093,5.5272,"10:59",0,517.3095,14.00444,0
"2021-03-22 11:15:00",6325,-3.345718,-3.095623,"11:13",-3.535938,"11:1",53.65237,1012.288,3.573734,10.25157,25.2113,6.1936,"11:11",0,784.3715,14.0864,0
"2021-03-22 11:30:00",6326,-3.135856,-2.995609,"11:28",-3.208996,"11:15",57.42714,1012.375,4.301981,9.270185,22.65421,7.0364,"11:22",0,858.5045,14.09295,0
"2021-03-22 11:45:00",6327,-3.074987,-2.944286,"11:39",-3.206406,"11:42",56.48994,1012.446,4.201261,8.135219,29.35308,7.4872,"11:41",0,806.7749,14.09321,0
"2021-03-22 12:00:00",6328,-3.009025,-2.683098,"11:58",-3.142197,"11:51",56.00074,1012.478,4.618196,7.199237,22.95902,7.84,"11:51",0,780.2192,14.09279,0
"2021-03-22 12:15:00",6329,-3.039208,-2.798477,"12:0",-3.207222,"12:13",55.48094,1012.353,4.761757,9.861979,28.62521,7.8792,"12:6",0,595.2982,14.08984,0
"2021-03-22 12:30:00",6330,-3.291,-3.104767,"12:16",-3.46706,"12:30",59.49769,1012.176,4.613731,11.57004,21.87704,8.2124,"12:15",0,420.7292,14.09281,0
"2021-03-22 12:45:00",6331,-3.541338,-3.367973,"12:31",-3.600086,"12:43",61.32774,1012.153,3.236613,18.31955,25.29063,6.6444,"12:44",0,435.1898,14.0924,0
"2021-03-22 13:00:00",6332,-3.471241,-3.28265,"12:52",-3.599632,"12:48",60.94184,1011.935,3.321329,22.37432,26.42864,6.2132,"12:47",0,548.9288,14.09164,0
