Station,Date,Time,Latitude_DD,Longitude_DD,File.Name,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,1.015,6.6781,30.4872,23.9067,266.349,87.154,15.75157,3.3152,0.3314,1.7796,1.7796,64.0872
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,2.018,6.8243,30.9518,24.254,265.817,87.573,15.6512,1.4546,0.3593,1.6646,1.6646,65.9774
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,3.028,7.0288,31.2354,24.4508,264.84,87.845,15.55192,0.96773,0.3484,1.2187,1.2187,73.8152
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,4.037,7.0733,31.2521,24.4582,263.946,87.649,15.53541,0.79453,0.3286,0.8161,0.8161,81.5556
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,5.049,7.0812,31.284,24.4822,263.729,87.613,15.52932,0.6386,0.3263,0.6507,0.6507,84.9806
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,6.057,7.1623,31.3863,24.552,263.533,87.777,15.4915,0.47013,0.3153,0.6161,0.6161,85.7262
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,7.069,7.1837,31.3685,24.5352,263.559,87.817,15.48644,0.34782,0.2938,0.6099,0.6099,85.861
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,8.073,7.1878,31.3779,24.5421,263.262,87.732,15.48405,0.1615,0.282,0.6766,0.6766,84.4378
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,9.085,7.1928,31.3784,24.5418,263.377,87.781,15.48234,0.079862,0.279,0.5976,0.5976,86.1219
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,10.096,7.1956,31.382,24.5443,263.393,87.795,15.48106,0.037861,0.2807,0.5729,0.5729,86.656
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,11.102,7.1988,31.3832,24.5448,263.133,87.715,15.47989,0.036385,0.2745,0.5921,0.5921,86.2416
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,12.117,7.2004,31.3871,24.5476,262.948,87.659,15.47892,0.036382,0.2699,0.6205,0.6205,85.6313
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,13.124,7.205,31.3875,24.5474,263.291,87.783,15.47738,0.036382,0.2661,0.6428,0.6428,85.1564
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,14.133,7.2047,31.3935,24.5522,263.31,87.792,15.47681,0.036382,0.2737,0.6366,0.6366,85.2866
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,15.139,7.2206,31.413,24.5655,263.101,87.767,15.46949,0.036382,0.2696,0.5875,0.5875,86.341
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,16.154,7.2278,31.4092,24.5615,263.447,87.894,15.46754,0.036382,0.2658,0.5714,0.5714,86.6879
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,17.165,7.2285,31.4114,24.5631,262.967,87.737,15.46708,0.036382,0.2623,0.5648,0.5648,86.8332
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,18.169,7.2315,31.4184,24.5683,263.34,87.872,15.46535,0.036382,0.2634,0.5718,0.5718,86.6801
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,19.177,7.2382,31.4204,24.5689,263.392,87.904,15.46295,0.036382,0.2677,0.5827,0.5827,86.443
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,20.191,7.2396,31.421,24.5692,263.233,87.854,15.46241,0.036382,0.2615,0.5792,0.5792,86.5195
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,21.206,7.2418,31.423,24.5705,262.857,87.735,15.46146,0.036382,0.269,0.5744,0.5744,86.6239
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,22.21,7.2429,31.421,24.5688,262.825,87.725,15.46135,0.036382,0.2633,0.5794,0.5794,86.5163
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,23.216,7.2413,31.4198,24.5681,262.875,87.738,15.46197,0.036382,0.2553,0.5929,0.5929,86.2238
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,24.225,7.2405,31.4214,24.5695,262.856,87.731,15.46205,0.036382,0.2836,0.6016,0.6016,86.035
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,25.238,7.241,31.4205,24.5687,262.639,87.658,15.46201,0.036382,0.266,0.5904,0.5904,86.278
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,26.249,7.2414,31.4219,24.5698,262.978,87.774,15.46171,0.036382,0.2587,0.5774,0.5774,86.5584
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,27.256,7.2435,31.425,24.5719,263.358,87.907,15.46068,0.036382,0.2632,0.5784,0.5784,86.5361
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,28.265,7.2449,31.4242,24.5712,263.423,87.931,15.46032,0.036382,0.2581,0.5911,0.5911,86.2638
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,29.275,7.2451,31.4251,24.5718,263.338,87.903,15.46016,0.036382,0.2734,0.5881,0.5881,86.327
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,30.287,7.2463,31.4261,24.5724,263.165,87.849,15.45967,0.036382,0.2603,0.5782,0.5782,86.541
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,31.296,7.2471,31.4272,24.5732,262.767,87.718,15.45925,0.036382,0.2476,0.5721,0.5721,86.672
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,32.304,7.2484,31.4275,24.5734,263.103,87.833,15.45882,0.036382,0.2496,0.5733,0.5733,86.6461
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,33.315,7.2487,31.4273,24.5731,263.351,87.916,15.45877,0.036382,0.2499,0.5768,0.5768,86.5725
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,34.323,7.252,31.4367,24.5801,263.229,87.888,15.45663,0.036382,0.2506,0.5758,0.5758,86.5936
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,35.334,7.2566,31.4356,24.5786,263.076,87.846,15.45525,0.036382,0.256,0.5766,0.5766,86.575
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,36.344,7.2588,31.4381,24.5803,263.035,87.838,15.45427,0.036382,0.2519,0.5753,0.5753,86.604
9_1,2015-01-16,15:25,59.5702,-151.3572,2015_01-16_t9_s01_cast182_4141, 4141,67,37.351,7.2599,31.4364,24.5789,263.154,87.878,15.4541,0.036382,0.2601,0.5729,0.5729,86.6566
