Station,Date,Time,Latitude_DD,Longitude_DD,File.Name,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,24.23,3.8792,31.7346,25.201,295.321,91.265,16.60235,5.8533,0.4891,0.2863,0.2863,93.0933
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,25.239,3.8807,31.7347,25.201,295.261,91.25,16.60178,5.2607,0.4835,0.2891,0.2891,93.028
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,26.246,3.8818,31.7347,25.201,295.086,91.198,16.60137,4.7302,0.5001,0.2886,0.2886,93.039
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,27.256,3.8825,31.7342,25.2004,294.912,91.146,16.60116,4.2444,0.4708,0.2912,0.2912,92.9806
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,28.267,3.8843,31.7349,25.2008,295.181,91.233,16.6004,3.8154,0.4821,0.2897,0.2897,93.0127
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,29.274,3.8843,31.7347,25.2006,295.209,91.242,16.60042,3.4212,0.4749,0.2891,0.2891,93.0287
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,30.285,3.8857,31.7365,25.202,295.069,91.203,16.59971,3.0622,0.463,0.2877,0.2877,93.0604
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,31.295,3.8887,31.7367,25.2019,295.209,91.253,16.59854,2.7511,0.4694,0.2879,0.2879,93.0555
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,32.309,3.8905,31.7368,25.2018,294.962,91.18,16.59785,2.4666,0.4616,0.2878,0.2878,93.0571
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,33.307,3.892,31.7362,25.2011,295.023,91.202,16.59735,2.2238,0.498,0.2875,0.2875,93.0663
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,34.33,3.8916,31.7364,25.2013,295.094,91.223,16.59751,2.0098,0.463,0.2856,0.2856,93.109
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,35.329,3.8937,31.7397,25.2038,294.797,91.139,16.59629,1.7989,0.4601,0.2885,0.2885,93.0418
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,36.345,3.8987,31.7386,25.2024,295.045,91.226,16.5946,1.6193,0.4684,0.2868,0.2868,93.0813
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,37.353,3.9002,31.7363,25.2005,295.058,91.232,16.59427,1.456,0.4699,0.2849,0.2849,93.126
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,38.362,3.8959,31.7411,25.2047,295.119,91.244,16.59532,1.3043,0.4856,0.2873,0.2873,93.0686
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,39.37,3.9148,31.757,25.2156,295.243,91.336,16.58633,1.1758,0.4681,0.2856,0.2856,93.1089
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,40.38,3.9333,31.7493,25.2077,295.436,91.431,16.58034,1.0575,0.4654,0.2802,0.2802,93.2338
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,41.396,3.9401,31.7498,25.2074,295.138,91.354,16.57775,0.95431,0.4567,0.2787,0.2787,93.2705
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,42.398,3.943,31.7458,25.204,294.963,91.303,16.57715,0.85838,0.4588,0.2776,0.2776,93.2966
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,43.406,3.953,31.7642,25.2177,294.828,91.297,16.57122,0.7784,0.4598,0.2745,0.2745,93.3673
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,44.428,3.9764,31.7537,25.2071,295.185,91.452,16.56374,0.70002,0.4556,0.2681,0.2681,93.5179
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,45.424,3.9809,31.7615,25.2128,294.972,91.4,16.56115,0.63214,0.4753,0.2687,0.2687,93.505
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,46.443,3.997,31.7645,25.2138,294.826,91.394,16.55477,0.57059,0.4621,0.2658,0.2658,93.5699
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,47.45,4.0077,31.7684,25.2158,294.824,91.419,16.55032,0.51528,0.4614,0.2638,0.2638,93.6195
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,48.457,4.0184,31.7623,25.2099,294.739,91.413,16.54707,0.46589,0.4639,0.2628,0.2628,93.6416
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,49.467,4.0197,31.7621,25.2097,294.692,91.401,16.54659,0.42251,0.4702,0.2613,0.2613,93.6772
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,50.476,4.0216,31.7645,25.2114,294.679,91.403,16.54563,0.38306,0.4525,0.2625,0.2625,93.6496
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,51.488,4.0266,31.7652,25.2114,294.394,91.326,16.54367,0.34713,0.4538,0.2601,0.2601,93.7046
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,52.503,4.0322,31.7702,25.215,294.461,91.363,16.54098,0.31442,0.4547,0.2587,0.2587,93.738
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,53.496,4.0449,31.7753,25.2178,294.443,91.389,16.53566,0.28473,0.4678,0.2587,0.2587,93.7366
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,54.522,4.0574,31.7711,25.2132,294.226,91.346,16.53149,0.25789,0.4433,0.2576,0.2576,93.7639
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,55.53,4.0596,31.7708,25.2127,294.306,91.376,16.53073,0.23363,0.4646,0.2572,0.2572,93.7732
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,56.534,4.062,31.7722,25.2136,294.028,91.296,16.52966,0.2124,0.4509,0.2558,0.2558,93.8039
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,57.549,4.0632,31.7719,25.2132,293.947,91.273,16.52925,0.19247,0.4584,0.2543,0.2543,93.84
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,58.557,4.0636,31.7783,25.2183,294.259,91.375,16.52834,0.17605,0.4629,0.2558,0.2558,93.8055
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,59.561,4.0833,31.7889,25.2248,294.286,91.434,16.51977,0.16044,0.4418,0.2594,0.2594,93.7213
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,60.579,4.0995,31.7859,25.2209,294.352,91.488,16.51412,0.14607,0.4433,0.2631,0.2631,93.635
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,61.584,4.1157,31.787,25.2202,294.137,91.458,16.50797,0.13286,0.4339,0.2709,0.2709,93.4512
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,62.595,4.1236,31.7868,25.2193,293.747,91.355,16.50506,0.12062,0.4351,0.2745,0.2745,93.3681
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,63.6,4.1335,31.7885,25.2198,293.823,91.402,16.5012,0.10985,0.4297,0.2841,0.2841,93.1449
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,64.625,4.1401,31.7868,25.2177,293.547,91.329,16.49895,0.10011,0.4281,0.2854,0.2854,93.1143
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,65.618,4.143,31.7864,25.2171,293.538,91.333,16.49794,0.091634,0.4132,0.2879,0.2879,93.0538
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,66.634,4.1415,31.7843,25.2156,293.409,91.287,16.49873,0.084303,0.4137,0.2872,0.2872,93.0715
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,67.642,4.143,31.7882,25.2186,293.377,91.284,16.49773,0.077411,0.4293,0.2886,0.2886,93.0405
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,68.645,4.1456,31.7862,25.2167,293.359,91.282,16.49699,0.071475,0.4159,0.2884,0.2884,93.0434
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,69.672,4.1453,31.7868,25.2172,293.419,91.301,16.49704,0.066017,0.4162,0.2851,0.2851,93.1201
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,70.67,4.1502,31.7969,25.2248,293.214,91.255,16.49405,0.061261,0.4246,0.2892,0.2892,93.0252
AlongBay_2,2020-02-06,13:20,59.518,-151.728,2020_02-06_alongbay_kb02_cast012_4141, 4141,125,71.681,4.1654,31.7968,25.2232,293.496,91.376,16.48841,0.057124,0.4143,0.2755,0.2755,93.3448
